date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:50	1233395/1233395	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/banx1.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/banx1.jpg	(from https://apertcgo.com/)
19:56:51	90249/90249	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/modal3.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/modal3.jpg	(from https://apertcgo.com/)
19:56:51	222165/222165	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/slide3.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/slide3.png	(from https://apertcgo.com/)
19:56:52	35710/35710	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/slide2.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/slide2.jpg	(from https://apertcgo.com/)
19:56:52	3689/3689	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-js/numberScroller.js	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-js/numberScroller.js	(from https://apertcgo.com/)
19:56:53	71554/71554	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/international.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/international.jpg	(from https://apertcgo.com/)
19:56:53	609529/609529	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/slide1.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/slide1.jpg	(from https://apertcgo.com/)
19:56:53	139947/139947	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/versatile.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/versatile.jpg	(from https://apertcgo.com/)
19:56:54	34034/34034	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/pix-01.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/pix-01.jpg	(from https://apertcgo.com/)
19:56:54	86519/86519	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/secured.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/secured.png	(from https://apertcgo.com/)
19:56:54	35201/35201	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/pix-02.jfif	C:/My%20Web%20Sites/delivery/apertcgo.com/images/pix-02.jfif	(from https://apertcgo.com/)
19:56:54	283633/283633	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/pix-03.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/pix-03.png	(from https://apertcgo.com/)
19:56:55	57581/57581	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/delivery-02.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/delivery-02.jpg	(from https://apertcgo.com/)
19:56:55	250341/250341	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/pix-04.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/pix-04.png	(from https://apertcgo.com/)
19:56:55	87387/87387	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/delivery-01.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/delivery-01.jpg	(from https://apertcgo.com/)
19:56:55	78360/78360	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/delivery-03.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/delivery-03.jpg	(from https://apertcgo.com/)
19:56:55	70475/70475	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/delivery-04.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/delivery-04.jpg	(from https://apertcgo.com/)
19:56:56	89151/89151	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal01.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal01.jpg	(from https://apertcgo.com/)
19:56:56	89220/89220	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal02.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal02.jpg	(from https://apertcgo.com/)
19:56:56	63005/63005	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal03.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal03.jpg	(from https://apertcgo.com/)
19:56:56	101159/101159	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal04.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal04.jpg	(from https://apertcgo.com/)
19:56:57	72221/72221	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal06.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal06.jpg	(from https://apertcgo.com/)
19:56:57	127438/127438	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal07.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal07.jpg	(from https://apertcgo.com/)
19:56:57	48590/48590	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal08.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal08.jpg	(from https://apertcgo.com/)
19:56:57	104540/104540	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal05.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal05.jpg	(from https://apertcgo.com/)
19:56:58	126685/126685	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/courier-01.jfif	C:/My%20Web%20Sites/delivery/apertcgo.com/images/courier-01.jfif	(from https://apertcgo.com/)
19:56:58	131056/131056	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/gal09.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/gal09.jpg	(from https://apertcgo.com/)
19:56:58	15283/15283	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/dhl.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/dhl.png	(from https://apertcgo.com/)
19:56:59	153828/153828	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/parcel_f.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/parcel_f.png	(from https://apertcgo.com/)
